po_id,sku_id,supplier_id,quantity,order_date,expected_delivery_date,production_line_id,status
PO-00001,SKU-0035,SUP-009,4953,2026-01-10,2026-02-16,PL-003,in_transit
PO-00002,SKU-0021,SUP-001,809,2026-01-05,2026-01-27,PL-003,delayed
PO-00003,SKU-0029,SUP-017,3204,2026-02-13,2026-03-21,PL-003,in_transit
PO-00004,SKU-0002,SUP-003,1837,2026-01-28,2026-02-24,PL-003,open
PO-00005,SKU-0017,SUP-004,2363,2026-02-07,2026-03-03,PL-005,delayed
PO-00006,SKU-0001,SUP-010,3429,2026-01-26,2026-02-14,PL-004,open
PO-00007,SKU-0036,SUP-015,4120,2026-01-11,2026-02-02,PL-004,delivered
PO-00008,SKU-0002,SUP-003,2093,2026-02-23,2026-03-20,PL-003,open
PO-00009,SKU-0043,SUP-004,4449,2026-01-22,2026-02-21,PL-003,in_transit
PO-00010,SKU-0028,SUP-011,3817,2026-01-12,2026-02-23,PL-003,in_transit
PO-00011,SKU-0020,SUP-004,1677,2026-02-12,2026-03-05,PL-003,open
PO-00012,SKU-0008,SUP-008,1616,2026-01-12,2026-02-22,PL-002,delayed
PO-00013,SKU-0014,SUP-014,4929,2026-01-12,2026-02-18,PL-005,in_transit
PO-00014,SKU-0039,SUP-005,2526,2026-02-10,2026-02-23,PL-002,delayed
PO-00015,SKU-0024,SUP-013,4475,2026-02-17,2026-03-15,PL-002,open
PO-00016,SKU-0018,SUP-005,1134,2026-02-26,2026-03-08,PL-004,in_transit
PO-00017,SKU-0007,SUP-012,3945,2026-01-04,2026-01-11,PL-004,in_transit
PO-00018,SKU-0029,SUP-017,2168,2026-02-07,2026-02-25,PL-004,delayed
PO-00019,SKU-0008,SUP-008,706,2026-01-07,2026-01-18,PL-005,in_transit
PO-00020,SKU-0041,SUP-010,4710,2026-01-16,2026-01-26,PL-003,open
PO-00021,SKU-0006,SUP-007,3509,2026-02-13,2026-02-27,PL-005,in_transit
PO-00022,SKU-0039,SUP-005,3216,2026-01-09,2026-01-30,PL-004,delivered
PO-00023,SKU-0029,SUP-017,2601,2026-02-09,2026-03-25,PL-005,delayed
PO-00024,SKU-0040,SUP-012,1802,2026-02-25,2026-03-10,PL-002,delayed
PO-00025,SKU-0017,SUP-004,1523,2026-01-17,2026-01-29,PL-005,open
PO-00026,SKU-0005,SUP-014,4964,2026-02-18,2026-02-25,PL-004,in_transit
PO-00027,SKU-0019,SUP-003,2416,2026-02-26,2026-03-19,PL-004,in_transit
PO-00028,SKU-0005,SUP-014,4931,2026-01-16,2026-02-06,PL-002,delayed
PO-00029,SKU-0028,SUP-011,1320,2026-02-21,2026-04-03,PL-003,open
PO-00030,SKU-0010,SUP-002,2619,2026-02-24,2026-03-06,PL-005,open
PO-00031,SKU-0048,SUP-009,3697,2026-01-07,2026-02-19,PL-001,delayed
PO-00032,SKU-0030,SUP-006,2330,2026-01-15,2026-02-10,PL-005,delivered
PO-00033,SKU-0035,SUP-009,426,2026-01-28,2026-03-04,PL-004,open
PO-00034,SKU-0048,SUP-009,848,2026-02-08,2026-03-25,PL-002,in_transit
PO-00035,SKU-0044,SUP-010,269,2026-01-06,2026-02-18,PL-003,in_transit
PO-00036,SKU-0037,SUP-001,3722,2026-02-26,2026-03-16,PL-003,in_transit
PO-00037,SKU-0012,SUP-016,4128,2026-01-22,2026-02-25,PL-001,delivered
PO-00038,SKU-0031,SUP-008,956,2026-02-06,2026-03-11,PL-002,in_transit
PO-00039,SKU-0022,SUP-006,3380,2026-02-02,2026-03-12,PL-005,in_transit
PO-00040,SKU-0003,SUP-018,2748,2026-01-30,2026-02-11,PL-001,in_transit
PO-00041,SKU-0050,SUP-005,109,2026-02-03,2026-03-14,PL-005,delayed
PO-00042,SKU-0030,SUP-006,3063,2026-02-02,2026-02-12,PL-005,open
PO-00043,SKU-0049,SUP-014,1767,2026-01-28,2026-03-04,PL-003,delivered
PO-00044,SKU-0036,SUP-015,4070,2026-02-20,2026-03-17,PL-001,in_transit
PO-00045,SKU-0002,SUP-003,1397,2026-01-19,2026-03-05,PL-003,delivered
PO-00046,SKU-0036,SUP-015,1940,2026-02-28,2026-04-11,PL-001,in_transit
PO-00047,SKU-0030,SUP-006,2490,2026-02-21,2026-03-09,PL-005,in_transit
PO-00048,SKU-0046,SUP-002,3968,2026-02-11,2026-03-16,PL-002,delayed
PO-00049,SKU-0030,SUP-006,4263,2026-01-24,2026-02-09,PL-002,in_transit
PO-00050,SKU-0005,SUP-014,4259,2026-02-11,2026-03-16,PL-003,in_transit
PO-00051,SKU-0001,SUP-010,4850,2026-02-10,2026-03-08,PL-004,delayed
PO-00052,SKU-0010,SUP-002,2823,2026-01-31,2026-03-13,PL-005,in_transit
PO-00053,SKU-0049,SUP-014,2736,2026-01-25,2026-02-25,PL-002,in_transit
PO-00054,SKU-0045,SUP-009,3465,2026-02-13,2026-03-28,PL-001,in_transit
PO-00055,SKU-0021,SUP-001,3223,2026-01-12,2026-02-18,PL-004,delivered
PO-00056,SKU-0043,SUP-004,403,2026-01-09,2026-01-25,PL-002,in_transit
PO-00057,SKU-0033,SUP-014,3706,2026-01-22,2026-02-19,PL-001,delayed
PO-00058,SKU-0034,SUP-009,3458,2026-01-30,2026-02-06,PL-002,delivered
PO-00059,SKU-0005,SUP-014,3356,2026-01-29,2026-02-21,PL-001,in_transit
PO-00060,SKU-0022,SUP-006,2694,2026-01-05,2026-02-15,PL-004,in_transit
PO-00061,SKU-0035,SUP-009,2454,2026-02-26,2026-03-09,PL-002,open
PO-00062,SKU-0048,SUP-009,923,2026-02-23,2026-03-29,PL-004,delayed
PO-00063,SKU-0011,SUP-011,476,2026-01-15,2026-02-10,PL-003,delayed
PO-00064,SKU-0004,SUP-018,1292,2026-02-10,2026-03-11,PL-002,in_transit
PO-00065,SKU-0034,SUP-009,1575,2026-02-02,2026-03-17,PL-002,delivered
PO-00066,SKU-0012,SUP-016,2072,2026-02-23,2026-03-26,PL-004,delivered
PO-00067,SKU-0038,SUP-004,2180,2026-02-19,2026-03-12,PL-004,in_transit
PO-00068,SKU-0017,SUP-004,3911,2026-01-17,2026-01-24,PL-003,delayed
PO-00069,SKU-0044,SUP-010,2930,2026-01-25,2026-02-11,PL-005,open
PO-00070,SKU-0020,SUP-004,3842,2026-01-19,2026-02-22,PL-003,delivered
PO-00071,SKU-0013,SUP-019,3224,2026-02-04,2026-03-13,PL-005,open
PO-00072,SKU-0023,SUP-013,2518,2026-01-23,2026-02-17,PL-001,delayed
PO-00073,SKU-0043,SUP-004,501,2026-02-03,2026-02-27,PL-005,open
PO-00074,SKU-0048,SUP-009,1985,2026-01-28,2026-02-22,PL-005,delivered
PO-00075,SKU-0023,SUP-013,1220,2026-02-14,2026-03-05,PL-001,delivered
PO-00076,SKU-0041,SUP-010,3711,2026-01-18,2026-01-27,PL-001,in_transit
PO-00077,SKU-0038,SUP-004,2517,2026-02-05,2026-02-20,PL-003,open
PO-00078,SKU-0048,SUP-009,4518,2026-02-02,2026-02-20,PL-003,open
PO-00079,SKU-0034,SUP-009,2205,2026-01-27,2026-02-20,PL-004,delayed
PO-00080,SKU-0019,SUP-003,3936,2026-01-12,2026-02-09,PL-001,delayed
PO-00081,SKU-0010,SUP-002,3355,2026-01-11,2026-02-01,PL-005,delayed
PO-00082,SKU-0024,SUP-013,4495,2026-02-23,2026-03-27,PL-001,open
PO-00083,SKU-0030,SUP-006,3143,2026-02-05,2026-02-28,PL-001,in_transit
PO-00084,SKU-0044,SUP-010,4699,2026-02-14,2026-03-23,PL-003,open
PO-00085,SKU-0040,SUP-012,3903,2026-02-14,2026-02-25,PL-003,delivered
PO-00086,SKU-0042,SUP-010,404,2026-02-02,2026-02-16,PL-003,open
PO-00087,SKU-0032,SUP-008,4503,2026-02-21,2026-03-06,PL-002,open
PO-00088,SKU-0025,SUP-010,4525,2026-01-30,2026-03-01,PL-004,delivered
PO-00089,SKU-0038,SUP-004,911,2026-01-12,2026-01-28,PL-004,delayed
PO-00090,SKU-0040,SUP-012,3135,2026-02-02,2026-02-26,PL-002,open
PO-00091,SKU-0029,SUP-017,913,2026-01-31,2026-02-22,PL-003,delayed
PO-00092,SKU-0035,SUP-009,2360,2026-01-18,2026-02-16,PL-002,open
PO-00093,SKU-0008,SUP-008,1837,2026-01-05,2026-02-10,PL-005,open
PO-00094,SKU-0002,SUP-003,1131,2026-02-25,2026-03-25,PL-005,open
PO-00095,SKU-0014,SUP-014,1869,2026-02-24,2026-04-07,PL-002,open
PO-00096,SKU-0022,SUP-006,4982,2026-01-10,2026-01-26,PL-001,delivered
PO-00097,SKU-0018,SUP-005,4525,2026-01-05,2026-01-21,PL-003,delayed
PO-00098,SKU-0012,SUP-016,3034,2026-02-21,2026-03-01,PL-002,open
PO-00099,SKU-0038,SUP-004,529,2026-02-08,2026-02-16,PL-002,open
PO-00100,SKU-0048,SUP-009,620,2026-02-02,2026-03-14,PL-004,open
