supplier_id,sku_id,quantity_on_hand,reorder_point,days_of_supply
SUP-010,SKU-0001,9152,270,28
SUP-008,SKU-0001,2188,207,15
SUP-003,SKU-0002,6074,233,15
SUP-004,SKU-0002,3541,391,41
SUP-018,SKU-0003,40,367,4
SUP-005,SKU-0003,3978,459,30
SUP-018,SKU-0004,3000,62,62
SUP-006,SKU-0004,3038,450,52
SUP-014,SKU-0005,6845,186,41
SUP-007,SKU-0005,2708,245,23
SUP-007,SKU-0006,7811,152,38
SUP-011,SKU-0006,7641,206,54
SUP-012,SKU-0007,3828,62,38
SUP-016,SKU-0007,3264,218,61
SUP-008,SKU-0008,4664,445,18
SUP-009,SKU-0008,4673,378,54
SUP-018,SKU-0009,8885,64,52
SUP-008,SKU-0009,21,347,2
SUP-002,SKU-0010,4449,105,14
SUP-009,SKU-0010,9874,226,65
SUP-011,SKU-0011,5239,360,65
SUP-003,SKU-0011,8479,247,24
SUP-016,SKU-0012,3214,72,42
SUP-007,SKU-0012,127,462,76
SUP-019,SKU-0013,8921,236,35
SUP-020,SKU-0013,7166,390,18
SUP-014,SKU-0014,5509,210,89
SUP-007,SKU-0014,2141,309,48
SUP-012,SKU-0015,31,256,3
SUP-015,SKU-0015,9183,148,26
SUP-002,SKU-0016,6988,396,58
SUP-005,SKU-0016,2951,341,88
SUP-004,SKU-0017,5030,330,61
SUP-009,SKU-0017,106,196,48
SUP-005,SKU-0018,42,288,3
SUP-015,SKU-0018,3601,292,75
SUP-003,SKU-0019,2880,195,20
SUP-016,SKU-0019,8545,221,89
SUP-004,SKU-0020,1630,394,40
SUP-002,SKU-0020,5185,462,38
SUP-001,SKU-0021,6,175,1
SUP-004,SKU-0021,1293,262,68
SUP-006,SKU-0022,9531,417,34
SUP-015,SKU-0022,6391,254,73
SUP-013,SKU-0023,4097,385,28
SUP-002,SKU-0023,190,448,23
SUP-013,SKU-0024,2981,287,76
SUP-009,SKU-0024,20,283,1
SUP-010,SKU-0025,2284,391,69
SUP-015,SKU-0025,8802,354,81
SUP-018,SKU-0026,5298,363,66
SUP-016,SKU-0026,8370,475,64
SUP-002,SKU-0027,7405,430,30
SUP-020,SKU-0027,7473,434,43
SUP-011,SKU-0028,4150,442,45
SUP-002,SKU-0028,8640,370,72
SUP-017,SKU-0029,4019,275,45
SUP-006,SKU-0029,1369,170,46
SUP-006,SKU-0030,25,120,1
SUP-003,SKU-0030,29,411,2
SUP-008,SKU-0031,3605,262,18
SUP-014,SKU-0031,6778,327,52
SUP-008,SKU-0032,7733,81,63
SUP-020,SKU-0032,3488,249,63
SUP-014,SKU-0033,9669,488,12
SUP-020,SKU-0033,9532,294,58
SUP-009,SKU-0034,196,202,55
SUP-007,SKU-0034,6489,325,63
SUP-009,SKU-0035,9047,162,87
SUP-014,SKU-0035,8099,189,38
SUP-015,SKU-0036,575,222,59
SUP-011,SKU-0036,6724,480,31
SUP-001,SKU-0037,7757,368,26
SUP-016,SKU-0037,8851,251,13
SUP-004,SKU-0038,9797,389,82
SUP-003,SKU-0038,544,379,20
SUP-005,SKU-0039,7664,75,33
SUP-013,SKU-0039,25,282,2
SUP-012,SKU-0040,5455,439,53
SUP-010,SKU-0040,6311,435,45
SUP-010,SKU-0041,7006,477,42
SUP-018,SKU-0041,1441,59,70
SUP-010,SKU-0042,953,164,54
SUP-004,SKU-0042,759,176,13
SUP-004,SKU-0043,3366,368,12
SUP-005,SKU-0043,2596,114,40
SUP-010,SKU-0044,7858,338,24
SUP-007,SKU-0044,3671,408,69
SUP-009,SKU-0045,28,360,2
SUP-018,SKU-0045,1976,209,30
SUP-002,SKU-0046,1871,63,84
SUP-004,SKU-0046,5211,396,83
SUP-002,SKU-0047,6249,416,60
SUP-001,SKU-0047,3349,353,19
SUP-009,SKU-0048,4078,406,23
SUP-006,SKU-0048,9937,457,25
SUP-014,SKU-0049,9372,227,15
SUP-019,SKU-0049,8828,388,64
SUP-005,SKU-0050,6171,309,18
SUP-019,SKU-0050,5690,484,11
